Group,Min_Size,Max_Size,Total_Density,LWR_a,LWR_b,Trophic_Level,Growth,Energy_density,Avg_energy
Group1,0.00001,0.0001,5000,0.01,3,2,0.2,5000,3.65E-14
Group2,0.00002,0.0002,5000,0.01,3,2.1,0.2,5000,2.92E-13
Group3,0.00004,0.0004,5000,0.01,3,2.1,0.2,5000,2.33E-12
Group4,0.00008,0.0008,5000,0.01,3,2.1,0.2,5000,1.87E-11
Group5,0.00016,0.0016,5000,0.01,3,2.205,0.2,5000,1.49E-10
Group6,0.00032,0.0032,5000,0.01,3,2.31525,0.2,5000,1.19E-09
Group7,0.00064,0.0064,5000,0.01,3,2.4310125,0.2,5000,9.56E-09
Group8,0.00128,0.0128,5000,0.01,3,2.552563125,0.2,5000,7.64E-08
Group9,0.00256,0.0256,5000,0.01,3,2.680191281,0.2,5000,6.12E-07
Group10,0.00512,0.0512,5000,0.01,3,2.680191281,0.2,5000,4.89E-06
Group11,0.01024,0.1024,5000,0.01,3,2.814200845,0.2,5000,3.91E-05
Group12,0.02048,0.2048,5000,0.01,3,2.814200845,0.2,5000,0.000313103
Group13,0.04096,0.4096,5000,0.01,3,2.954910888,0.2,5000,0.002504825
Group14,0.08192,0.8192,5000,0.01,3,3.102656432,0.2,5000,0.020038599
Group15,0.16384,1.6384,5000,0.01,3,3.257789254,0.2,5000,0.160308795
Group16,0.32768,3.2768,5000,0.01,3,4.584036636,0.2,5000,1.282470363
Group17,0.65536,6.5536,5000,0.01,3,3.420678716,0.2,5000,10.2597629
Group18,1.31072,13.1072,5000,0.01,3,3.420678716,0.2,5000,18.7321597
Group19,2.62144,26.2144,5000,0.01,3,3.420678716,0.2,5000,149.8572776
Group20,5.24288,52.4288,5000,0.01,3,3.420678716,0.2,5000,1198.858221
Group21,10.48576,104.8576,5000,0.01,3,3.420678716,0.2,5000,9590.865766
Group22,20.97152,209.7152,5000,0.01,3,3.420678716,0.2,5000,76726.92613
Group23,41.94304,419.4304,5000,0.01,3,3.420678716,0.2,5000,613815.4091
Group24,83.88608,838.8608,5000,0.01,3,3.420678716,0.2,5000,4910523.272
Group25,167.77216,1677.7216,5000,0.01,3,3.420678716,0.2,5000,39284186.18
